id;song_title;album_title;year_of_release;month_of_release;type
255;Don't Fall Apart on Me Tonight;Infidels;1983;11;Original
256;Tight Connection to My Heart (Has Anybody Seen My Love);Empire Burlesque;1985;6;Original
257;Seeing the Real You at Last;Empire Burlesque;1985;6;Original
258;I'll Remember You;Empire Burlesque;1985;6;Original
259;Clean Cut Kid;Empire Burlesque;1985;6;Original
260;Never Gonna Be the Same Again;Empire Burlesque;1985;6;Original
261;Trust Yourself;Empire Burlesque;1985;6;Original
262;Emotionally Yours;Empire Burlesque;1985;6;Original
263;When the Night Comes Falling from the Sky;Empire Burlesque;1985;6;Original
264;Something's Burning, Baby;Empire Burlesque;1985;6;Original
265;Dark Eyes;Empire Burlesque;1985;6;Original
266;You Wanna Ramble;Knocked Out Loaded;1986;8;Cover
267;They Killed Him;Knocked Out Loaded;1986;8;Cover
268;Driftin' Too Far from Shore;Knocked Out Loaded;1986;8;Original
269;Precious Memories;Knocked Out Loaded;1986;8;t
270;Maybe Someday;Knocked Out Loaded;1986;8;Original
271;Brownsville Girl;Knocked Out Loaded;1986;8;Original
272;Got My Mind Made Up;Knocked Out Loaded;1986;8;Original
273;Under Your Spell;Knocked Out Loaded;1986;8;Original
274;Let's Stick Together;Down In the Groove;1988;6;Cover
275;When Did You Leave Heaven?;Down In the Groove;1988;6;Cover
276;Sally Sue Brown;Down In the Groove;1988;6;Cover
277;Death Is Not the End;Down In the Groove;1988;6;Original
278;Had a Dream About You, Baby;Down In the Groove;1988;6;Original
279;Ugliest Girl in the World;Down In the Groove;1988;6;Original
280;Silvio;Down In the Groove;1988;6;Original
281;Ninety Miles an Hour (Down a Dead End Street);Down In the Groove;1988;6;Cover
282;Shenandoah;Down In the Groove;1988;6;Traditional
283;Rank Strangers to Me;Down In the Groove;1988;6;Cover
284;Political World;Oh Mercy;1989;9;Original
285;Where Teardrops Fall;Oh Mercy;1989;9;Original
286;Everything Is Broken;Oh Mercy;1989;9;Original
287;Ring Them Bells;Oh Mercy;1989;9;Original
288;Man in the Long Black Coat;Oh Mercy;1989;9;Original
289;Most of the Time;Oh Mercy;1989;9;Original
290;What Good Am I?;Oh Mercy;1989;9;Original
291;Disease of Conceit;Oh Mercy;1989;9;Original
292;What Was It You Wanted;Oh Mercy;1989;9;Original
